method,window,period,date,selected_alpha,selector_score_type,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean7,dev_march,development,2025-03-12,,none,1660.3619091830622,1460.346006057144,74725.50240643973,0.0,46992.89916192553,0.0,46992.89916192553,6603.468989044076,2063.319184865368,20016.809800054107,16393.630250857146,47133.340578325275,0,LP,0.005653200001688674,9.094947017729282e-13,0
mean7,dev_march,development,2025-03-13,,none,1460.346006057144,1411.4148678222232,74106.71190236801,31.119295977142656,47638.703742939855,193.14775464433777,47831.8514975842,2422.8855252674803,0.0,22175.608846433865,18006.28119002286,47867.06595332949,2,LP,0.005725800001528114,8.588685318500211e-13,0
mean7,dev_march,development,2025-03-14,,none,1411.4148678222232,1920.35807457037,32440.350287762492,0.0,13175.556653140246,0.0,13175.556653140246,318.9471004467981,12651.787994572604,15695.475385981183,12255.286176571426,12904.672585617058,0,MILP,0.14160780000383966,2.2737367544323206e-12,0
mean7,dev_march,development,2025-03-15,,none,1920.35807457037,1370.7079328285708,31490.085345136977,0.0,13141.275321886267,0.0,13141.275321886267,582.2605277142854,7639.142219647267,14943.38197548971,12598.824527714285,13440.44714578562,0,MILP,0.14031099999556318,1.5158245029548803e-12,0
mean7,dev_march,development,2025-03-16,,none,1370.7079328285708,1823.10229712487,73741.59287931057,0.0,46166.897083101896,0.0,46166.897083101896,5513.327351874188,488.8266500000001,20953.87903282305,16565.487088720005,45847.32315944469,0,LP,0.005972499988274649,1.0231815394945443e-12,0
mean7,dev_march,development,2025-03-17,,none,1823.10229712487,1958.8960840984132,72388.69416444951,0.0,44234.89671718511,0.0,44234.89671718511,7979.77333126632,2805.418361700175,19069.245420386826,15323.874382237145,44141.99229450264,0,LP,0.008194099995307624,9.094947017729282e-13,0
mean7,dev_march,development,2025-03-18,,none,1958.8960840984132,1827.9724392825412,70178.56345419987,0.0,43585.5298195425,0.0,43585.5298195425,3869.8011703057036,1253.98175,21298.176039798935,17369.353872571428,43676.968856936575,0,LP,0.005418100015958771,1.0231815394945443e-12,0
mean7,dev_march,development,2025-03-19,,none,1827.9724392825412,2060.98474157037,69978.66090474308,0.0,42903.13474362353,0.0,42903.13474362353,4383.967977348614,1902.2185999999997,21143.646343870663,16916.64246647619,42741.271728410466,0,LP,0.005955900007393211,8.952838470577262e-13,0
mean7,dev_march,development,2025-03-20,,none,2060.98474157037,1550.5062194888894,69027.32558600939,35.58052725809455,43376.682597201194,235.32960728503733,43612.01220448624,2436.8978742386776,1014.3316833333329,20327.08109948501,16924.36636045619,43969.74247174881,1,LP,0.0062907999963499606,9.601208716958354e-13,0
mean7,dev_april,development,2025-04-17,,none,1618.0719069862432,1997.2523229619082,60737.177014785426,0.0,36121.7287621462,0.0,36121.7287621462,1850.4821544585582,1752.042219107586,20658.14693074309,16391.836639523808,35866.54389701098,0,LP,0.005879500007722527,9.094947017729282e-13,0
mean7,dev_april,development,2025-04-18,,none,1997.2523229619082,2146.0427089597865,26897.288588659605,0.0,10650.91460201991,0.0,10650.91460201991,432.5333284761913,17492.553124650207,13074.597920009403,10456.512967809525,10576.001897459671,0,MILP,0.10303990001557395,2.6147972675971687e-11,0
mean7,dev_april,development,2025-04-19,,none,2146.0427089597865,2102.49358338201,26817.021450395066,0.0,10644.189084501631,0.0,10644.189084501631,502.6140351428577,17138.474211944736,12791.83245435509,10400.578501047616,10666.058529947872,0,MILP,0.11610700000892393,7.044320682325633e-11,0
mean7,dev_april,development,2025-04-20,,none,2102.49358338201,2004.9647056825395,59893.79465677366,0.0,35568.08304688317,0.0,35568.08304688317,1824.0274476566751,2296.7300092592614,20542.464770810107,16727.172454285716,35633.51468328736,0,LP,0.0065051999990828335,9.094947017729282e-13,0
