method,window,period,date,selected_plan,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean7,eval_december,evaluation,2025-12-21,mean7,1872.7814958687843,1866.898438401062,98002.88393659024,0.0,74281.00673686316,0.0,74281.00673686316,4562.700099780128,0.0,23198.4037992863,18796.001829142857,74285.82536538942,0,LP,0.005307500017806888,9.094947017729282e-13,0
mean14,dev_march,development,2025-03-07,mean14,1607.6682326867735,1799.9208019068776,34105.28322439623,0.0,14082.992075686865,0.0,14082.992075686865,565.2098166337454,9475.432254961785,15628.04372194356,12485.68810247619,13977.704715837763,0,MILP,0.06970180000644177,1.6484591469634324e-12,0
mean14,dev_march,development,2025-03-08,mean14,1799.9208019068776,1746.8951542507957,32969.96055831864,0.0,13568.518769028096,0.0,13568.518769028096,509.3328688112868,10500.46662127925,15498.65597079953,12601.634419238093,13597.022009963997,0,MILP,0.17709929999546148,1.4210854715202004e-12,0
mean14,dev_march,development,2025-03-09,mean14,1746.8951542507957,1561.1631377291037,76873.91025030451,0.0,48596.71613421043,0.0,48596.71613421043,7848.288972299819,2007.7979637895348,20270.826732024692,16586.528467809523,48727.7367223778,0,LP,0.005715299979783595,6.821210263296962e-13,0
mean14,dev_march,development,2025-03-10,mean14,1561.1631377291037,1492.0528197248711,75468.31508035742,0.0,49242.05094077318,0.0,49242.05094077318,3048.439095282771,360.69671666666625,21470.037392693706,17452.929574285714,49291.962844375324,0,LP,0.005746800015913323,6.821210263296962e-13,0
mean14,dev_march,development,2025-03-11,mean14,1492.0528197248711,1660.3619091830622,75212.64844544501,0.0,48126.316245688184,0.0,48126.316245688184,5785.330828725446,1440.661016666667,20506.629576529103,16458.891776476194,48006.740421923525,0,LP,0.005343800003174692,7.736034035588091e-13,0
mean14,dev_march,development,2025-03-12,mean14,1660.3619091830622,1461.79973104127,74725.50240643973,0.0,46963.13106840106,0.0,46963.13106840106,6599.761112459718,2063.319184865368,20029.43887425751,16402.551448476195,47102.55174998604,0,LP,0.0063615999824833125,9.094947017729282e-13,0
mean14,dev_march,development,2025-03-13,mean14,1461.79973104127,1411.4148678222232,74105.09665238565,31.119295977141405,47584.970061691936,193.14775464432972,47778.117816336264,2413.5683936213895,0.0,22223.031131430926,18046.00159335619,47814.37847979235,2,LP,0.005517100013094023,8.588685318500211e-13,0
mean14,dev_march,development,2025-03-14,mean14,1411.4148678222232,1920.35807457037,32440.35028776249,0.0,13099.816045592132,0.0,13099.816045592132,354.032023113465,12614.122854704287,15709.055476516165,12266.28604990476,12828.931978068944,0,MILP,0.16845650001778267,2.021099337273174e-12,0
mean14,dev_march,development,2025-03-15,mean14,1920.35807457037,1370.7079328285708,31490.085345136977,0.0,13136.119229275908,0.0,13136.119229275908,567.2663150476187,7657.394756388007,14926.232901415637,12584.933777714285,13435.29105317526,0,MILP,0.12474749999819323,8.526512829121202e-13,0
mean14,dev_march,development,2025-03-16,mean14,1370.7079328285708,1838.5584962412745,73812.72461107819,0.0,46171.064292937954,0.0,46171.064292937954,5512.903254158728,488.8266500000001,21257.27508691946,16797.327313333335,45840.5720232838,0,LP,0.005499999999301508,1.0231815394945443e-12,0
mean14,dev_march,development,2025-03-17,mean14,1838.5584962412745,1956.3184412920637,72433.1862534168,0.0,44218.728791059686,0.0,44218.728791059686,8161.870174297475,2635.277233333333,19325.912957405046,15548.00554495238,44138.162367853634,0,LP,0.005433299986179918,9.094947017729282e-13,0
mean14,dev_march,development,2025-03-18,mean14,1956.3184412920637,1825.798837915346,70256.2525740435,0.0,43465.343056638885,0.0,43465.343056638885,3874.0398293262765,1253.98175,21682.843532050556,17680.570904,43556.499905431236,0,LP,0.005134099978022277,9.094947017729282e-13,0
mean14,dev_march,development,2025-03-19,mean14,1825.798837915346,2060.98474157037,69981.0760173733,0.0,42880.75843055519,0.0,42880.75843055519,4383.967977348611,1902.2185999999997,21146.061456500884,16916.64246647619,42717.385513642905,0,LP,0.006774400011636317,8.952838470577262e-13,0
mean14,dev_march,development,2025-03-20,mean14,2060.98474157037,1550.5062194888894,69155.06826177072,35.58052725809614,43300.17888757115,235.32960728504787,43535.5084948562,2440.0422835390914,1014.3316833333329,20982.861449279248,17455.548443789525,43893.23876211877,1,LP,0.00553970001055859,9.601208716958354e-13,0
