method,window,period,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,predicted_plan_cost,actual_mean_price,forecast_mean_price,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean28,val_august,validation,2025-08-25,2100.0782866380923,1707.2043083703695,76204.9483068912,194.44487727809246,55315.0817031644,1651.7392593657878,56966.82096253019,1268.7607725643775,848.1037247454473,20331.727634914754,16822.28596472191,51967.119752985425,0.8601569444444443,0.7973307539682539,3,LP,0.004276400024536997,9.094947017729282e-13,0
mean28,val_august,validation,2025-08-26,1707.2043083703695,2289.724857334393,77810.48083583776,0.0,55600.84834364488,0.0,55600.84834364488,5399.989963283946,2495.1787833333337,20327.5011148395,15941.007408952384,52827.95328318328,0.8444180555555555,0.7963993303571427,0,LP,0.004777599999215454,9.094947017729282e-13,0
mean28,val_august,validation,2025-08-27,2289.724857334393,1885.1668969915356,76984.80180751323,16.225255619048085,55420.37306208662,134.3372614190515,55554.71032350567,3149.673414190474,2413.5014000000006,20462.134455703716,16938.43107342857,52354.63263666589,0.8533875,0.7949632688492063,2,LP,0.004431000008480623,7.673861546209082e-13,0
mean28,val_august,validation,2025-08-28,1885.1668969915356,1928.8909241407405,76463.18450198119,46.880709523809514,55508.549312745236,388.3171611380952,55896.86647388333,1681.3897400482088,0.0,21165.94138783773,17105.060899714288,52152.05098393593,0.863504861111111,0.7940236607142858,3,LP,0.004273400001693517,8.242295734817162e-13,0
mean28,val_august,validation,2025-08-29,1928.8909241407405,1784.4022373777775,41128.83874780011,0.0,23065.0509264646,0.0,23065.0509264646,934.2633720952392,15190.516472708992,13573.044058329215,11124.205505333335,26981.302879209703,0.6645076388888889,0.7933834325396825,0,MILP,0.08925079999607988,6.366462912410498e-12,0
mean28,val_august,validation,2025-08-30,1784.4022373777775,1574.0628858211644,41384.38355317106,0.0,23565.259127537578,0.0,23565.259127537578,775.7798762622006,19895.403960102278,12577.817367758962,10377.337484285714,27107.90117190272,0.6546625,0.7933159474206348,0,MILP,0.08984880000934936,1.1823431123048067e-11,0
mean28,val_august,validation,2025-08-31,1574.0628858211644,2395.7523527111116,78414.7428874062,26.50513619047615,56007.378668914134,218.3203532838092,56225.69902219794,4534.953564136395,2629.044000000001,20479.50976803175,15848.882391904766,53235.930974405215,0.846538888888889,0.7930471974206349,3,LP,0.004378000012366101,9.348077867343818e-13,0
mean28,eval_september,evaluation,2025-09-10,4786.2408636984155,4596.08880984127,67860.37914680537,968.5033833333317,45708.64908887188,5167.422119424991,50876.071208296875,3864.5636866584314,0.0,20102.405483956496,16454.08529047619,45332.68217284969,0.7818236111111112,0.7652296130952381,7,LP,0.004553400009172037,9.094947017729282e-13,0
mean28,eval_september,evaluation,2025-09-11,4596.08880984127,4802.587337518517,69292.7277965573,0.0,45492.160611010535,0.0,45492.160611010535,7376.391981236922,4680.028049999999,18707.227931987065,14967.005949999995,45890.519627824244,0.7530638888888889,0.7626816964285715,0,LP,0.0048417999933008105,9.094947017729282e-13,0
mean28,eval_september,evaluation,2025-09-12,4802.587337518517,4896.763673185184,35096.85593575714,0.0,17668.220109349502,0.0,17668.220109349502,1329.499312452671,19779.877237113993,12374.023600476197,9938.200414285717,22154.461402058358,0.5750854166666666,0.7592154017857142,0,MILP,0.07319490000372753,1.0231815394945443e-12,0
mean28,eval_september,evaluation,2025-09-13,4896.763673185184,5445.944860185186,35329.74200470475,0.0,17627.238912308854,0.0,17627.238912308854,725.114016449148,23665.19908748971,12831.917627013521,9899.590209580952,22221.24955085886,0.5665159722222222,0.7564964781746032,0,MILP,0.07503629999700934,2.8421709430404007e-12,0
mean28,eval_september,evaluation,2025-09-14,5445.944860185186,4487.227906111117,68054.87806431983,0.0,45890.22967707032,0.0,45890.22967707032,5239.808548095232,146.7241269077006,18062.452094650198,15493.431455333333,44953.95882742193,0.7759062499999999,0.7536098710317459,0,LP,0.004951599985361099,1.0231815394945443e-12,0
mean28,eval_september,evaluation,2025-09-15,4487.227906111117,3986.774659746034,67434.65243069136,0.0,44728.09873783496,0.0,44728.09873783496,5790.8465656507915,3405.9241115684863,19059.25811509111,15888.40699495238,43851.35928868043,0.761726388888889,0.7513243799603173,0,LP,0.0047811999975237995,7.105427357601002e-13,0
mean28,eval_september,evaluation,2025-09-16,3986.774659746034,3583.5142666084644,67472.52043429275,0.0,45556.88866962393,0.0,45556.88866962393,3416.4635393768367,1430.3384217530897,18404.646545543797,15270.698055714285,43901.396636306716,0.7779465277777776,0.7482588541666666,0,LP,0.004318699997384101,7.673861546209082e-13,0
mean28,eval_september,evaluation,2025-09-17,3583.5142666084644,3671.113625460319,68723.97640009521,7.62916666666672,45712.659189510654,38.19542291666694,45750.85461242733,4892.94958391299,0.0,19998.411367801295,16119.87378495238,44247.740664692865,0.778054861111111,0.7459385416666666,1,LP,0.004335299978265539,9.094947017729282e-13,0
mean28,eval_september,evaluation,2025-09-18,3671.113625460319,3584.4259127671953,68750.67448494298,0.0,45289.12349097192,0.0,45289.12349097192,4740.743438859495,1438.4827399271003,19439.032267965904,15823.635078476189,44208.98699014618,0.7698256944444445,0.742785193452381,0,LP,0.004428200016263872,9.094947017729282e-13,0
mean28,eval_september,evaluation,2025-09-19,3584.4259127671953,4496.983348915345,35408.8122466549,0.0,17347.88681348497,0.0,17347.88681348497,597.2874819753083,15251.107939588472,13882.962188900648,10423.897680476191,21147.13638824292,0.5932520833333333,0.7400215773809524,0,MILP,0.08428720000665635,7.958078640513122e-13,0
mean28,eval_september,evaluation,2025-09-20,4496.983348915345,4610.873304386244,34562.68968055262,0.0,16696.202623176574,0.0,16696.202623176574,643.1293042857142,15593.405164015285,13569.581678918279,10888.8602,20769.329470550365,0.5874611111111112,0.7376209077380953,0,MILP,0.06391810000059195,2.4442670110147446e-12,0
mean28,eval_september,evaluation,2025-09-21,4610.873304386244,3822.106488999998,70845.60734687715,0.0,47626.28227444722,0.0,47626.28227444722,6664.572512959434,3430.7977519188703,16698.103855332156,14235.354256666666,44846.48504423375,0.7738493055555556,0.7350589285714286,0,LP,0.004488100006710738,7.815970093361102e-13,0
mean28,eval_september,evaluation,2025-09-22,3822.106488999998,2889.025305428571,68842.22145939565,0.0,45873.594212922435,0.0,45873.594212922435,3110.4271593627313,2524.7006999999994,18067.614641651973,15474.540924952385,43041.22182108701,0.7821659722222223,0.7326599206349207,0,LP,0.00472040000022389,8.881784197001252e-13,0
mean28,eval_september,evaluation,2025-09-23,2889.025305428571,2966.993081158731,70776.06237700883,0.0,46680.741386872076,0.0,46680.741386872076,2822.722188115223,1934.4691124703138,20168.865762804242,16266.610269714281,43828.407693394096,0.7817520833333333,0.7298745287698413,0,LP,0.004427200008649379,9.094947017729282e-13,0
mean28,eval_december,evaluation,2025-12-08,1451.3861965089911,1928.8049120613766,96764.52389095358,0.0,73567.97042326457,0.0,73567.97042326457,4123.218734850085,0.0,22970.61681810347,18176.522778666666,64849.91920250089,0.9085152777777777,0.7910074156746032,0,LP,0.004128700005821884,9.663381206337363e-13,0
mean28,eval_december,evaluation,2025-12-09,1928.8049120613766,1683.501095979894,96618.23266573547,28.02018466666675,72777.36267888919,207.1730520160006,72984.53573090519,5136.007738178715,0.0,22855.60147384245,18733.81062828571,65101.41686082003,0.9057770833333332,0.7942053571428571,2,LP,0.0042301000212319195,9.094947017729282e-13,0
mean28,eval_december,evaluation,2025-12-10,1683.501095979894,1640.7699979100528,96861.42690929097,0.0,73976.66254450633,0.0,73976.66254450633,4324.910459576713,0.0,22038.7156384762,17889.817655428575,65368.30610965226,0.9161590277777777,0.7974881448412698,0,LP,0.0039558999997098,7.389644451905042e-13,0
mean28,eval_december,evaluation,2025-12-11,1640.7699979100528,1849.5066304476222,97318.08861919811,0.0,72817.50722102598,0.0,72817.50722102598,6958.031247721335,0.0,22162.84053785773,17764.037866380953,66072.60261078077,0.8976340277777778,0.801193998015873,0,LP,0.003910599974915385,6.821210263296962e-13,0
mean28,eval_december,evaluation,2025-12-12,1849.5066304476222,1922.1565517195847,50946.63655140621,0.0,23414.847311365203,0.0,23414.847311365203,2015.804446546741,1328.8133463915271,20116.949189420342,16229.343914285713,27580.829964437944,0.7237798611111111,0.8040189236111112,0,LP,0.004625000001396984,1.0231815394945443e-12,0
mean28,eval_december,evaluation,2025-12-13,1922.1565517195847,2001.8885422253966,51821.58600679014,0.0,24312.796003203515,0.0,24312.796003203515,2989.1660065655524,1132.38245,20156.554607557897,16255.050440666662,28130.334412898475,0.7296965277777777,0.8074011160714285,0,LP,0.004452000022865832,7.958078640513122e-13,0
mean28,eval_december,evaluation,2025-12-14,2001.8885422253966,1739.627803660316,97981.36402969199,0.0,75033.38735454959,0.0,75033.38735454959,5057.901063086424,0.0,23056.714901653144,18911.97373504762,67078.19447981434,0.9207375000000001,0.8110057043650793,0,LP,0.004119499993976206,6.821210263296962e-13,0
mean28,eval_december,evaluation,2025-12-15,1739.627803660316,1911.330116133336,99872.19156622222,0.0,76512.30761590065,0.0,76512.30761590065,5857.465004144625,0.0,23108.613232553784,18563.444637142857,68627.66097101205,0.9144402777777779,0.8145827628968254,0,LP,0.00410849999752827,9.094947017729282e-13,0
mean28,eval_december,evaluation,2025-12-16,1911.330116133336,1830.002305755558,99675.81924210582,0.0,75962.97964413291,0.0,75962.97964413291,6016.189736288065,0.0,22709.122114865368,18467.583942380952,68758.42117853546,0.9109138888888888,0.8181036706349205,0,LP,0.0040926999936345965,7.958078640513122e-13,0
mean28,eval_december,evaluation,2025-12-17,1830.002305755558,1875.848881186245,99301.84177987186,0.0,75688.50476726904,0.0,75688.50476726904,6825.683784221047,0.0,22331.836900507933,18047.525971523806,68486.62329719012,0.9088097222222221,0.8212822916666666,0,LP,0.004280699999071658,1.0231815394945443e-12,0
mean28,eval_december,evaluation,2025-12-18,1875.848881186245,1865.7872980433888,98744.06427248204,0.0,74617.50880195029,0.0,74617.50880195029,6994.399507266307,0.0,23118.174859882423,18734.777061333338,68418.07072002179,0.9094777777777777,0.8241321428571429,0,LP,0.0039926000172272325,9.094947017729282e-13,0
mean28,eval_december,evaluation,2025-12-19,1865.7872980433888,1694.2762466719578,52224.09750531102,0.0,24133.45760281555,0.0,24133.45760281555,3934.652207141687,1810.65698271605,19603.98400888182,16033.586993428573,28903.771402231054,0.7250944444444445,0.8272856646825396,0,LP,0.004383899999083951,1.0231815394945443e-12,0
