date,mae,rmse,mean_bias,forecast_mean,actual_mean
2025-04-04,0.1510061507936508,0.17073664972933997,0.1510061507936508,0.7105089285714286,0.5595027777777778
2025-04-05,0.13457251984126983,0.151752393266009,0.13420992063492065,0.7097383928571429,0.5755284722222221
2025-04-06,0.04834047619047618,0.056631487198041196,-0.046795535714285706,0.7088912698412698,0.7556868055555556
2025-04-07,0.05145763888888887,0.059086754138279615,-0.043645535714285706,0.7080704365079364,0.7517159722222222
2025-04-08,0.04878536706349207,0.05967411483400198,-0.04497197420634921,0.7069439980158729,0.7519159722222222
2025-04-09,0.06513645833333336,0.07843192693249419,-0.060709672619047646,0.7055611607142858,0.7662708333333333
2025-04-10,0.05741274801587301,0.06937859722599651,-0.05177594246031745,0.7062511408730159,0.7580270833333334
2025-04-11,0.1542436011904762,0.17837967983351832,0.1541734623015873,0.7056519345238095,0.5514784722222222
2025-04-12,0.14192400793650795,0.15849243559243664,0.14012103174603174,0.7039883928571429,0.5638673611111111
2025-04-13,0.05513928571428571,0.06736849198581864,-0.05221071428571427,0.7040441468253967,0.7562548611111111
2025-04-14,0.04684871031746032,0.0557786340089533,-0.042251091269841265,0.704346130952381,0.7465972222222221
2025-04-15,0.04614751984126983,0.058902623014734014,-0.035194146825396816,0.7033384920634921,0.738532638888889
2025-04-16,0.06323164682539681,0.07752706197199918,-0.06148541666666666,0.7008687500000002,0.7623541666666667
2025-04-17,0.05123318452380951,0.06243554938515911,-0.04761046626984126,0.7001568948412699,0.7477673611111111
2025-04-18,0.13954414682539681,0.1573370039854873,0.13954414682539681,0.6989642857142857,0.5594201388888889
2025-04-19,0.14098199404761905,0.15907129714746246,0.14098199404761905,0.6989583829365079,0.5579763888888889
2025-04-20,0.05036121031746032,0.06176796571620941,-0.0477342261904762,0.6977046626984128,0.7454388888888889
2025-04-21,0.04323665674603175,0.05196700055977548,-0.03697941468253969,0.6969726686507937,0.7339520833333333
2025-04-22,0.0563278273809524,0.0676211199878401,-0.055254513888888905,0.6957038194444444,0.7509583333333334
2025-04-23,0.055974107142857145,0.066819457034874,-0.052277083333333335,0.6956354166666667,0.7479125
2025-04-24,0.048798313492063504,0.058898041454122405,-0.041860615079365095,0.6943241071428572,0.7361847222222223
2025-04-25,0.15239409722222222,0.17085203523916725,0.15207227182539682,0.6927639384920634,0.5406916666666667
2025-04-26,0.1549641865079365,0.17960719285879295,0.15418859126984127,0.6919934523809523,0.5378048611111111
2025-04-27,0.05028234126984127,0.06322517221409736,-0.043650793650793655,0.6901318452380952,0.7337826388888888
2025-04-28,0.08035386904761904,0.09985003477792614,-0.0775253968253968,0.6885266865079365,0.7660520833333333
2025-04-29,0.04681393849206349,0.057890875243315106,-0.04046631944444444,0.6899163194444444,0.7303826388888888
