method,window,period,date,mae,mse,rank_correlation
mean7_value_shift6h,val_june,validation,2025-06-10,0.054851289682539675,0.004643923932823129,0.9685032724544763
mean7_value_shift6h,val_june,validation,2025-06-11,0.07027430555555556,0.0073644145734127016,0.958681937427075
mean7_value_shift6h,val_june,validation,2025-06-12,0.06014662698412698,0.005016969742063492,0.9725503829100557
mean7_value_shift6h,val_june,validation,2025-06-13,0.12945714285714283,0.02129744157596371,0.9254611018623572
mean7_value_shift6h,val_june,validation,2025-06-14,0.133205753968254,0.023121778259637193,0.9360359618135647
mean7_value_shift6h,val_june,validation,2025-06-15,0.05559444444444445,0.004814738007369614,0.9722801345155363
mean7_value_shift6h,val_june,validation,2025-06-16,0.05662182539682539,0.004531992035147391,0.9707146854638347
mean7_value_shift6h,val_june,validation,2025-06-17,0.060974305555555545,0.00627256188066893,0.9641387348283901
mean7_value_shift6h,val_june,validation,2025-06-18,0.05118859126984127,0.0039033341142290265,0.9738575816434278
mean7_value_shift6h,val_june,validation,2025-06-19,0.045914384920634904,0.003089191934523808,0.9685424258818189
mean7_value_shift6h,val_june,validation,2025-06-20,0.14658918650793654,0.026588349678287982,0.9264034032741292
mean7_value_shift6h,val_june,validation,2025-06-21,0.15586805555555555,0.03225611370748299,0.8999908568355729
mean7_value_shift6h,val_august,validation,2025-08-18,0.059799702380952384,0.005162303062641723,0.9721173100598077
mean7_value_shift6h,val_august,validation,2025-08-19,0.053927380952380956,0.004113619761904762,0.9718772041599965
mean7_value_shift6h,val_august,validation,2025-08-20,0.07831785714285716,0.008954767735260771,0.9562906481503984
mean7_value_shift6h,val_august,validation,2025-08-21,0.05832400793650795,0.005429714937641723,0.9560012820530527
mean7_value_shift6h,val_august,validation,2025-08-22,0.13174890873015874,0.021711866951530615,0.961904034667501
mean7_value_shift6h,val_august,validation,2025-08-23,0.13412797619047623,0.021802774095804993,0.9589934078790788
mean7_value_shift6h,val_august,validation,2025-08-24,0.05130654761904762,0.003998993214285715,0.9772375384193688
mean7_value_shift6h,val_august,validation,2025-08-25,0.06873551587301588,0.006953463526077098,0.9520646974370787
mean7_value_shift6h,val_august,validation,2025-08-26,0.0552484126984127,0.004510137774943311,0.9712864144490283
mean7_value_shift6h,val_august,validation,2025-08-27,0.06640932539682538,0.0065826961961451234,0.9556505820503622
mean7_value_shift6h,val_august,validation,2025-08-28,0.07400505952380951,0.009359691568877547,0.9316813995706448
mean7_value_shift6h,val_august,validation,2025-08-29,0.13391428571428574,0.022878937020975057,0.9551000723414517
mean7_value_shift6h,val_august,validation,2025-08-30,0.1447313492063492,0.028693702777777774,0.96004035049517
mean7_value_shift6h,val_august,validation,2025-08-31,0.05793521825396827,0.00448783386479592,0.9474328303927602
mean7_value_shift6h,eval_september,evaluation,2025-09-10,0.08075823412698412,0.00962936953089569,0.9176312193553573
mean7_value_shift6h,eval_september,evaluation,2025-09-11,0.05342291666666665,0.003983710712868478,0.9372447323820464
mean7_value_shift6h,eval_september,evaluation,2025-09-12,0.13119454365079364,0.021942914981575964,0.9459919198378696
mean7_value_shift6h,eval_september,evaluation,2025-09-13,0.1423347222222222,0.0261781421201814,0.9513201336731162
mean7_value_shift6h,eval_september,evaluation,2025-09-14,0.06920803571428571,0.007160951310941043,0.9190112471707496
mean7_value_shift6h,eval_september,evaluation,2025-09-15,0.053628869047619064,0.004093989125566895,0.9696889317578974
mean7_value_shift6h,eval_september,evaluation,2025-09-16,0.07089543650793652,0.00671652106292517,0.9268374532961081
mean7_value_shift6h,eval_september,evaluation,2025-09-17,0.06790843253968254,0.006912320106292518,0.9253222972139251
mean7_value_shift6h,eval_september,evaluation,2025-09-18,0.0625863095238095,0.005349257681405893,0.9403463153027493
mean7_value_shift6h,eval_september,evaluation,2025-09-19,0.12201220238095238,0.018731401653911565,0.9529619805481875
mean7_value_shift6h,eval_september,evaluation,2025-09-20,0.13063968253968256,0.020193817723922907,0.9561771561771563
mean7_value_shift6h,eval_september,evaluation,2025-09-21,0.0577920634920635,0.004971124248866214,0.9027527987173576
mean7_value_shift6h,eval_september,evaluation,2025-09-22,0.06337777777777778,0.005779184246031747,0.9299994574399001
mean7_value_shift6h,eval_september,evaluation,2025-09-23,0.06235724206349205,0.0060319541992630375,0.9524051619929098
mean7_value_shift6h,eval_december,evaluation,2025-12-08,0.05379761904761906,0.004278465870181406,0.9899927457474088
mean7_value_shift6h,eval_december,evaluation,2025-12-09,0.05510982142857143,0.004638546835317461,0.9839080136423966
mean7_value_shift6h,eval_december,evaluation,2025-12-10,0.06404900793650793,0.005799348664965985,0.9836528085640159
mean7_value_shift6h,eval_december,evaluation,2025-12-11,0.04928015873015874,0.0034187920776644004,0.9819326861439718
mean7_value_shift6h,eval_december,evaluation,2025-12-12,0.13132857142857143,0.0212724234920635,0.9678964713447472
mean7_value_shift6h,eval_december,evaluation,2025-12-13,0.12623511904761905,0.02063172845804989,0.9639709066507826
mean7_value_shift6h,eval_december,evaluation,2025-12-14,0.06661597222222222,0.006240505103458052,0.986695174616522
mean7_value_shift6h,eval_december,evaluation,2025-12-15,0.061336805555555554,0.005326173541666665,0.9753516598344185
mean7_value_shift6h,eval_december,evaluation,2025-12-16,0.05366517857142857,0.003980074791666666,0.9890563459528978
mean7_value_shift6h,eval_december,evaluation,2025-12-17,0.052521428571428566,0.0039831995238095224,0.9811550518447071
mean7_value_shift6h,eval_december,evaluation,2025-12-18,0.05642847222222221,0.004443810840419501,0.9817910354789895
mean7_value_shift6h,eval_december,evaluation,2025-12-19,0.1354359126984127,0.023404178863378686,0.9675468209950969
mean7_value_shift6h,eval_december,evaluation,2025-12-20,0.14118660714285713,0.02544074294926304,0.9702475685234306
mean7_value_shift6h,eval_december,evaluation,2025-12-21,0.05431170634920634,0.004098392619047619,0.9873864387658365
oracle_greedy,dev_march,development,2025-03-07,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-08,0.0,0.0,1.0
oracle_greedy,dev_march,development,2025-03-09,0.0,0.0,1.0
